Índice	IDUNIDADE	METAJUNJUL	DTFIM	ANO
2802	1075075001	69	28/02/2022	2022
2803	1090090001	78	28/02/2022	2022
2804	1044004401	61	28/02/2022	2022
2805	1045012215	264	28/02/2022	2022
2806	1045012219	210	28/02/2022	2022
2807	3045012319	0	28/02/2022	2022
2808	1045012221	9	28/02/2022	2022
2809	1045012217	169	28/02/2022	2022
2810	3045000092	67	28/02/2022	2022
2811	1047047001	79	28/02/2022	2022
2812	1046016059	142	28/02/2022	2022
2813	1046059507	40	28/02/2022	2022
2814	1073022149	81	28/02/2022	2022
2815	3048000088	31	28/02/2022	2022
2816	1048015687	120	28/02/2022	2022
2817	1091091001	71	28/02/2022	2022
2818	1049013438	56	28/02/2022	2022
2819	1049013442	65	28/02/2022	2022
2820	1049013440	49	28/02/2022	2022
2821	3049000078	67	28/02/2022	2022
2822	1121018919	68	28/02/2022	2022
2823	1057057001	57	28/02/2022	2022
2824	1050005001	137	28/02/2022	2022
2825	1051013957	93	28/02/2022	2022
2826	1051013963	35	28/02/2022	2022
2827	1051013959	144	28/02/2022	2022
2828	1051013967	27	28/02/2022	2022
2829	1051013961	120	28/02/2022	2022
2830	1051013977	25	28/02/2022	2022
2831	1051013965	106	28/02/2022	2022
2832	1051013969	67	28/02/2022	2022
2833	1051013973	171	28/02/2022	2022
2834	3051023299	6	28/02/2022	2022
2835	3051014108	8	28/02/2022	2022
2836	1051013971	5	28/02/2022	2022
2837	1051013979	192	28/02/2022	2022
2838	3051000083	109	28/02/2022	2022
2839	3051000081	187	28/02/2022	2022
2840	1093093001	64	28/02/2022	2022
2841	1094094001	54	28/02/2022	2022
2842	1095095001	24	28/02/2022	2022
2843	1124124001	67	28/02/2022	2022
2844	1052052001	65	28/02/2022	2022
2845	1053053001	139	28/02/2022	2022
2846	1096096001	33	28/02/2022	2022
2847	1125125001	149	28/02/2022	2022
2848	1054054001	96	28/02/2022	2022
2849	3055000076	13	28/02/2022	2022
2850	1055015063	115	28/02/2022	2022
2851	1056056001	42	28/02/2022	2022
2852	1058058001	22	28/02/2022	2022
2853	1059016340	82	28/02/2022	2022
2854	1074074001	115	28/02/2022	2022
2855	1074017868	165	28/02/2022	2022
2856	1128128001	51	28/02/2022	2022
2857	1060015900	115	28/02/2022	2022
2858	1062062001	101	28/02/2022	2022
2859	1061011582	154	28/02/2022	2022
2860	3061350511	43	28/02/2022	2022
2861	1061011584	124	28/02/2022	2022
2862	1061011586	64	28/02/2022	2022
2863	1130130001	77	28/02/2022	2022
2864	1066066001	148	28/02/2022	2022
2865	1063014527	22	28/02/2022	2022
2866	1063014456	82	28/02/2022	2022
2867	1064015820	74	28/02/2022	2022
2868	1131374511	52	28/02/2022	2022
2869	1065065001	141	28/02/2022	2022
2870	1065065002	122	28/02/2022	2022
2871	1065361511	51	28/02/2022	2022
2872	1070011388	109	31/03/2022	2022
2873	1070011390	105	31/03/2022	2022
2874	3070000090	124	31/03/2022	2022
2875	1070011392	90	31/03/2022	2022
2876	1076076001	115	31/03/2022	2022
2877	1002000210	39	31/03/2022	2022
2878	1003003001	144	31/03/2022	2022
2879	1004026445	46	31/03/2022	2022
2880	1004004001	80	31/03/2022	2022
2881	1005011703	92	31/03/2022	2022
2882	1005011707	26	31/03/2022	2022
2883	1005011705	109	31/03/2022	2022
2884	1005011972	99	31/03/2022	2022
2885	1005011711	115	31/03/2022	2022
2886	3005000075	100	31/03/2022	2022
2887	3005011814	1	31/03/2022	2022
2888	3005023099	0	31/03/2022	2022
2889	1005011709	4	31/03/2022	2022
2890	1077077001	32	31/03/2022	2022
2891	1006011106	161	31/03/2022	2022
2892	1006011110	48	31/03/2022	2022
2893	1006011108	157	31/03/2022	2022
2894	3006012001	188	31/03/2022	2022
2895	1006011906	160	31/03/2022	2022
2896	1006011114	46	31/03/2022	2022
2897	1006011118	214	31/03/2022	2022
2898	3006000077	195	31/03/2022	2022
2899	1006026148	139	31/03/2022	2022
2900	1006011122	25	31/03/2022	2022
2901	3006000091	227	31/03/2022	2022
2902	1006022720	214	31/03/2022	2022
2903	1006027447	22	31/03/2022	2022
2904	1006011112	114	31/03/2022	2022
2905	1006011120	46	31/03/2022	2022
2906	3006026674	8	31/03/2022	2022
2907	1006011116	16	31/03/2022	2022
2908	1138025880	74	31/03/2022	2022
2909	1068068001	74	31/03/2022	2022
2910	1100100001	34	31/03/2022	2022
2911	1007007001	128	31/03/2022	2022
2912	1008011826	157	31/03/2022	2022
2913	1008011832	115	31/03/2022	2022
2914	1008011830	72	31/03/2022	2022
2915	1001012526	390	31/03/2022	2022
2916	1001012610	14	31/03/2022	2022
2917	3001000072	129	31/03/2022	2022
2918	1001012530	188	31/03/2022	2022
2919	1001012498	18	31/03/2022	2022
2920	3001000020	225	31/03/2022	2022
2921	1001012548	137	31/03/2022	2022
2922	1001012570	16	31/03/2022	2022
2923	3001000022	160	31/03/2022	2022
2924	1001012542	143	31/03/2022	2022
2925	1001012594	14	31/03/2022	2022
2926	1001027165	104	31/03/2022	2022
